Код;Назва головного розпорядника коштів
001;"Апарат місцевої ради (Управління справами ВР; АРК, обласні, Київська та Севастопольська міські ради, районні ради і ради міст обласного та республіканського підпорядкування (для АРК), селищні, сільські ради, районні ради у містах)"
002;Управління справами (управління (відділ) обласної (Київської, Севастопольської міської) державної адміністрації, районної державної адміністрації, виконавчого органу місцевої ради)
003;Державна адміністрація (Управління справами Ради міністрів Автономної Республіки Крим, обласні державні адміністрації (господарські управління, відділи), Київська, Севастопольська міські державні адміністрації, районні державні адміністрації (управління, відділи), виконавчі органи місцевих рад)
004;Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації)
005;Рахункова палата Верховної Ради Автономної Республіки Крим
006;Виборча комісія Автономної Республіки Крим
007;Постійне представництво Автономної Республіки Крим в столиці України - в місті Києві
008;Орган з питань внутрішньої політики та зв'язків з громадянами
009;Орган з питань зовнішньоекономічної та міжнародної діяльності
010;Орган з питань освіти і науки, молоді та спорту
011;Орган у справах сім'ї, молоді та спорту
013;Орган з питань фізичної культури та спорту
014;Орган з питань охорони здоров'я
015;Орган з питань праці та соціального захисту населення
016;Орган з питань надання субсидій
017;Орган з питань праці та зайнятості
018;Орган з питань охорони праці
019;Орган у справах сім'ї, жінок, інвалідів, ветеранів війни та праці
020;Орган у справах дітей
021;Орган у справах національностей, депортованих громадян та міграції
022;Орган з питань ведення державного реєстру виборців
023;Орган з питань правової допомоги
024;Орган з питань культури
025;Орган з питань курортів і туризму
026;Орган з питань охорони культурної спадщини
027;Орган з питань релігій
029;Архівна установа
030;Орган з питань інформації та преси
031;Орган з питань реклами
032;Орган з питань регуляторної політики і підприємництва
033;Орган з питань реєстрації та державного реєстру
035;Орган з питань споживчого ринку, торгівлі, побутового обслуговування, ринків, громадського харчування
036;Орган з питань захисту прав споживачів
037;Орган з питань цінової політики
040;Орган з питань житлово-комунального господарства
041;Орган з питань комунального господарства
042;Орган з питань ритуальних послуг
043;Орган з питань житлового забезпечення
044;Орган у справах приватизації
045;Орган з питань комунальної власності
047;Орган з питань будівництва
048;Орган з питань містобудування та архітектури
049;Орган з питань державного технічного нагляду
050;Орган з питань благоустрою
051;Орган з питань промисловості, розвитку інфраструктури, та науково-технічної, інноваційної політики
052;Орган з питань інвестицій
053;Орган з питань агропромислового комплексу, сільського господарства та продовольства
054;Орган з питань закупівель та якості сільськогосподарської продукції
056;Орган з питань земельних ресурсів та кадастру
059;Орган з питань лісового та мисливського господарства
060;Орган з питань екології, охорони навколишнього середовища та природних ресурсів
062;Орган з питань водного господарства
063;Орган з питань морської акваторії
065;Орган з питань транспорту, зв'язку та інформатизації
066;Орган з питань інформатизації та аналітичного забезпечення
067;Орган з питань надзвичайних ситуацій
068;Орган з питань оборонно-мобілізаційної роботи та цивільного захисту населення
070;Орган з питань пожежної охорони
071;Орган з питань палива і енергетики
073;Орган з питань економіки
075;Фінансовий орган
076;Фінансовий орган (в частині міжбюджетних трансфертів, резервного фонду)
077;Орган з питань внутрішнього фінансового контролю
079;Орган з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу
090;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
091;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
092;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
093;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
094;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
095;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
096;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
097;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
098;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
099;Районні державні адміністрації, районні адміністрації (у містах з районним поділом за відсутності районних у містах рад)
