category;work;icon;color
Навчальні заклади;;fa-mortar-board;#FE2E2E
Навчальні заклади;заміна вікон;fa-columns;#FE2E2E
Навчальні заклади;ремонт фасаду;fa-bank;#FE2E2E
Навчальні заклади;ремонт даху;;#FE2E2E
Навчальні заклади;нове будівництво;;#FE2E2E
Капітальні ремонти;;fa-exclamation-triangle;#8181F7
Капітальні ремонти;ремонт внутрішньобудинкової мережі;;#8181F7
Капітальні ремонти;ремонт електромережі;;#8181F8
Капітальні ремонти;ремонт ліфту;;#8181F8
Капітальні ремонти;ремонт даху;;#8181F9
Капітальні ремонти;ремонт сходинкових клітин;;#8181F9
Капітальні ремонти;ремонт фасаду;fa-bank;#8181F10
Капітальні ремонти;ремонт дороги;fa-automobile;#8181F10
Капітальні ремонти;встановлення ігрових та спортивних майданчиків;;#8181F11
Поточні ремонти;;fa-wrench;#01DF3A
Поточні ремонти;ремонт дороги;fa-automobile;#01DF3A
Прибудинкові території;;;#FA58D0
Прибудинкові території;ремонт дитячих майданчиків;;#FA58D0
Прибудинкові території;встановлення нових дитячих майданчиків;;#FA58D0
Прибудинкові території;ремонт дороги;fa-automobile;#FA58D0
Благоустрій;;fa-building;#00FFFF
Благоустрій;встановлення зупинок громадського транспорту;fa-bus;#00FFFF
