Galuz;kod;SpecFond
10000;10116;200000
10000;10116;102500
180000;180409;500000
250000;250404;1000000
10000;10116;4878500
180000;180409;6000000
10000;10116;21600
10000;10116;21600
10000;10116;27000
10000;10116;42000
10000;10116;93600
10000;10116;14200
10000;10116;21600
100000;100102;900000
100000;100203;1875000
110000;110102;173911
150000;150101;989940
150000;150201;13057213
180000;180409;320000
10000;10116;36000
10000;10116;95000
180000;180409;100000
250000;250404;300000
10000;10116;95000
180000;180409;5419590
10000;10116;80586
150000;150202;3700000
10000;10116;244800
160000;160101;55200
250000;250500;700000
10000;10116;125000
100000;100102;11159900
100000;100105;2000000
100000;100106;2301400
100000;100203;10700000
150000;150201;1031700
150000;150202;493130
170000;170603;26700000
170000;170703;25966684
180000;180409;239348155
210000;210105;50000
250000;250404;1350157
10000;10116;305368
150000;150101;20090266
150000;150110;447233
150000;150112;22524
150000;150201;2230630
170000;170703;8432235
10000;10116;50000
70000;70201;950000
90000;91101;200000
90000;91105;1029200
130000;130107;46000
130000;130205;152000
150000;150101;68756816
10000;10116;50000
70000;70101;15959216
70000;70201;39027977
70000;70301;1788870
70000;70401;779360
150000;150101;9576479
150000;150110;14113877
150000;150111;1184583
150000;150112;454000
180000;180107;1500000
10000;10116;21600
80000;80101;5024323
80000;80203;295250
80000;80300;3595378
80000;81002;13500000
150000;150114;1786258
10000;10116;72000
110000;110201;2165681
110000;110202;601000
110000;110204;828969
110000;110205;750000
150000;150101;200000
150000;150201;1295000
150000;150112;200000
180000;180409;1000000
10000;10116;363327
90000;91204;676473
90000;91214;293430
10000;10116;20000
70000;70303;90750
10000;10116;100000
180000;180409;1990000
10000;10116;40800
180000;180409;372500
100000;100102;933812
100000;100203;5819000
150000;150101;990000
170000;170703;5901000
180000;180409;480000
100000;100102;500000
100000;100203;3250000
170000;170703;5000000
180000;180409;480000
10000;10116;79000
100000;100102;4500000
100000;100203;3230000
170000;170703;4600000
180000;180409;480000
10000;10116;200000
100000;100102;2000000
100000;100203;3250000
170000;170703;4500000
180000;180409;480000
10000;10116;497214
100000;100102;3010032
100000;100203;6011000
170000;170703;5250992
180000;180409;480000
10000;10116;30000
100000;100102;580525
100000;100203;3850000
170000;170703;5170000
180000;180409;480000
