kkd;Загальний фонд;Спеціальний фонд
11000000;348 950 000;
11010000;348 800 000;
11010100;312 342 500;
11010200;20 000 000;
11010400;8 007 500;
11010500;8 450 000;
11020201;150 000;
12000000;;3 300 000
12030000;;3 300 000
12030100;;300 000
12030200;;3 000 000
13000000;62 508 000;
13050000;62 508 000;
13050100;30 508 000;
13050200;26 000 000;
13050300;1 000 000;
13050500;5 000 000;
18000000;7 135 000;58 400 000
18010000;;200 000
18010100;;150 000
18010200;;50 000
18020000;700 000;
18020100;700 000;
18030000;105 000;
18030100;62 000;
18030200;43 000;
18040000;6 330 000;200 000
18040100;1 370 000;
18040200;2 405 000;
18040500;30 000;
18040600;870 000;
18040700;790 000;
18040800;680 000;
18041300;5 000;
18041400;133 000;
18041500;;200 000
18041700;20 000;
18041800;27 000;
18050000;;58 000 000
18050300;;16 000 000
18050400;;42 000 000
19000000;;100 000
19010000;;100 000
19010100;;100 000
20000000;12 118 500;20 802 100
21000000;611 000;10 000
21010000;5 000;
21010300;5 000;
21080000;606 000;
21080500;300 000;
21080900;6 000;
21081100;300 000;
21110000;;10 000
22000000;8 407 500;
22080000;8 200 000;
22080400;8 200 000;
22090000;207 500;
22090100;168 500;
22090400;39 000;
24000000;3 100 000;4 007 500
24060000;3 100 000;5 000
24060300;3 100 000;
24062100;;5 000
24110900;;2 500
24170000;;4 000 000
25000000;;16 784 600
25010000;;16 784 600
25010100;;16 784 600
30000000;;19 605 130
31000000;;8 000 000
31030000;;8 000 000
33000000;;11 605 130
33010000;;11 605 130
33010100;;9 928 800
33010400;;1 676 330
50000000;;895 300
50110000;;895 300
40000000;401 833 900;12 872 700
41000000;401 833 900;12 872 700
41020000;102 022 400;
41020100;102 022 400;
41030000;299 811 500;12 872 700
41030601;246 745 700;
41030801;28 371 200;
41030901;17 661 000;
41031001;700;
41034400;;12 364 000
41034800;936 300;
41035000;5 171 900;508 700
41035800;609 700;
41036300;315 000;
